Roll: 1001EE15
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,AA,1
CH110,3,CORE,BB,1
EE101,8,CORE,AB,1
HS101,6,CORE,AB,1
MA101,8,CORE,AB,1
ME110,3,CORE,AB,1
ME111,7,CORE,AB,1
PH101,6,CORE,CC,1
CH102,6,CORE,AA,2
CS101,6,CORE,BB,2
CS110,3,CORE,AB,2
EE102,4,CORE,AA,2
MA102,8,CORE,AB,2
ME101,8,CORE,BC,2
PH102,6,CORE,AB,2
PH110,3,CORE,AB,2
CS201,9,CORE,AA,3
EE200,6,CORE,AB,3
EE201,6,CORE,AA,3
EE202,3,CORE,AA,3
EE220,8,CORE,AB,3
HS201,6,HS ELECTIVE,BB,3
MA201,8,CORE,AB,3
CH201,6,Science Elective,AA,4
EE203,6,CORE,AB,4
EE204,3,CORE,AA,4
EE230,8,CORE,AB,4
EE280,6,CORE,AA,4
EE281,3,CORE,AB,4
HS202,6,HSS Elective,AB,4
MA225,8,CORE,AB,4
EE310,6,CORE,BB,5
EE311,3,CORE,AB,5
EE320,6,CORE,AA,5
EE331,3,CORE,AB,5
EE350,6,CORE,BC,5
EE370,6,CORE,BB,5
EE371,3,CORE,AA,5
EE380,6,CORE,BB,5
EE304,4,CORE,AA,6
EE321,3,CORE,AA,6
EE322,6,CORE,AB,6
EE340,6,CORE,BB,6
EE351,6,CORE,AB,6
EE360,6,CORE,AB,6
EE361,3,CORE,AB,6
HS311,6,HS Elective,AB,6
EE400,2,CORE,AA,7
EE480,6,CORE,BB,7
EE481,6,CORE,BC,7
EE482,3,CORE,BB,7
EE498,10,CORE,AB,7
EE534,6,CORE,BB,7
EE535,6,CORE,AB,7
PH402,6,Open Elective - I,BB,7
CE502,6,Open Elective - II,AA,8
EE499,14,CORE,AA,8
EE508,6,Departmental Elective - IV,AA,8
EE537,6,Departmental Elective - III,AB,8
HS441,6,HS Elective,AB,8
