Roll: 1301CE09
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,AB,1
CH110,3,CORE,AB,1
EE101,8,CORE,BB,1
HS101,6,CORE,AA,1
MA101,8,CORE,AB,1
ME110,3,CORE,AA,1
ME111,7,CORE,BC,1
PH101,6,CORE,BB,1
CH102,6,CORE,BB,2
CS101,6,CORE,AB,2
CS110,3,CORE,AA,2
EE102,4,CORE,AB,2
MA102,8,CORE,AB,2
ME101,8,CORE,BB,2
PH102,6,CORE,BC,2
PH110,3,CORE,AA,2
CE201,6,CORE,BB,3
CE203,6,CORE,AA,3
CE205,6,CORE,BB,3
CE207,3,CORE,AB,3
CS201,9,CORE,BB,3
HS241,6,HS Elective,BB,3
MA201,8,CORE,AB,3
CE202,8,CORE,BB,4
CE204,6,CORE,BC,4
CE206,6,CORE,AB,4
CE208,6,CORE,BC,4
CE210,3,CORE,BB,4
CE212,3,CORE,AA,4
HS202,6,HS Elective,BB,4
PH201,6,Science Elective,BB,4
CE301,8,CORE,BB,5
CE303,6,CORE,AB,5
CE305,6,CORE,BC,5
CE307,6,CORE,AB,5
CE309,7,CORE,BC,5
CE311,3,CORE,BC,5
CE302,8,CORE,BB,6
CE304,6,CORE,AA,6
CE306,6,CORE,AB,6
CE308,6,CORE,BC,6
CE310,3,CORE,AB,6
CE312,3,CORE,AB,6
CE313,3,CORE,AA,6
CE316,6,Departmental Elective,AA,6
HS331,6,HSS Electives,CD,6
CE400,2,CORE,AA,7
CE401,6,CORE,BB,7
CE403,6,CORE,BB,7
CE498,8,CORE,AA,7
CE517,6,Department Elective - I,DD,7
CE523,6,Department Elective - II,BB,7
PH401,6,Open Elective - I,BC,7
CB412,6,Open Elective - II,BC,8
CE499,16,CORE,AA,8
CE528,6,Department Elective - IV,BB,8
CE544,6,Department Elective - III,CC,8
HS441,6,HS Elective,BC,8
