Roll: 1001CS37
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,BB,1
CH110,3,CORE,BB,1
EE101,8,CORE,BB,1
HS101,6,CORE,BC,1
MA101,8,CORE,CC,1
ME110,3,CORE,BB,1
ME111,7,CORE,BC,1
PH101,6,CORE,DD,1
CH102,6,CORE,BB,2
CS101,6,CORE,DD,2
CS110,3,CORE,CC,2
EE102,4,CORE,AB,2
MA102,8,CORE,BC,2
ME101,8,CORE,BC,2
PH102,6,CORE,BC,2
PH110,3,CORE,BB,2
CS201,9,CORE,DD,3
CS203,6,CORE,BB,3
CS221,6,CORE,BB,3
EE220,8,CORE,BB,3
HS231,6,HS ELECTIVE,AB,3
MA201,8,CORE,CC,3
CS204,6,CORE,BC,4
CS222,6,CORE,CC,4
CS223,3,CORE,BB,4
CS241,7,CORE,BB,4
CS242,5,CORE,BB,4
HS222,6,HSS Elective,BC,4
MA225,8,CORE,BC,4
MA251,6,Science Elective,CC,4
CS301,6,CORE,BC,5
CS331,8,CORE,CC,5
CS341,6,CORE,BB,5
CS342,5,CORE,BB,5
CS343,6,CORE,CD,5
CS344,6,CORE,BC,5
CS345,5,CORE,BC,5
CS302,6,CORE,BC,6
CS346,6,CORE,BB,6
CS347,3,CORE,AA,6
CS348,8,CORE,BB,6
CS362,8,CORE,CC,6
CS399,3,CORE,AA,6
HS331,6,HS Elective,AB,6
CS400,2,CORE,BC,7
CS421,6,CORE,CC,7
CS422,5,CORE,BB,7
CS498,10,CORE,CC,7
CS542,6,ELECTIVE,BB,7
CS561,6,ELECTIVE,BB,7
MA410,6,Open Elective - I,CC,7
CS499,16,CORE,BB,8
CS502,6,Departmental Elective - III,BB,8
CS549,6,Departmental Elective - IV,BC,8
HS441,6,HS Elective,BB,8
PH403,6,Open Elective - II,CD,8
